country,iso3,year,event_type,sum_fatalities_per_event,sum_fatalities,population_mil,fatalities_per_million,fatalities_per_million_per_event,year,Control of Corruption,Government Effectiveness,Political Stability and Absence of Violence/Terrorism,Regulatory Quality,Rule of Law,Voice and Accountability
Nepal,NPL,2011,Protests,0,14,27.041437,0.5177239656309686,0,2011,-0.77893573,-0.9025553,-1.4164436,-0.7225809,-0.8867433,-0.4451258
Nepal,NPL,2011,Explosions/Remote violence,5,14,27.041437,0.5177239656309686,0.18490141629677448,2011,-0.77893573,-0.9025553,-1.4164436,-0.7225809,-0.8867433,-0.4451258
Nepal,NPL,2011,Strategic developments,0,14,27.041437,0.5177239656309686,0,2011,-0.77893573,-0.9025553,-1.4164436,-0.7225809,-0.8867433,-0.4451258
Nepal,NPL,2011,Riots,1,14,27.041437,0.5177239656309686,0.036980283259354894,2011,-0.77893573,-0.9025553,-1.4164436,-0.7225809,-0.8867433,-0.4451258
Bangladesh,BGD,2016,Explosions/Remote violence,2,419,157.97084,2.6523882508949117,0.012660564443412467,2016,-0.8570897,-0.67865896,-1.2619368,-0.7966801,-0.6634919,-0.58529806
Bangladesh,BGD,2016,Riots,100,419,157.97084,2.6523882508949117,0.6330282221706234,2016,-0.8570897,-0.67865896,-1.2619368,-0.7966801,-0.6634919,-0.58529806
Bangladesh,BGD,2016,Protests,3,419,157.97084,2.6523882508949117,0.018990846665118702,2016,-0.8570897,-0.67865896,-1.2619368,-0.7966801,-0.6634919,-0.58529806
Bangladesh,BGD,2016,Violence against civilians,119,419,157.97084,2.6523882508949117,0.7533035843830418,2016,-0.8570897,-0.67865896,-1.2619368,-0.7966801,-0.6634919,-0.58529806
Bangladesh,BGD,2016,Battles,195,419,157.97084,2.6523882508949117,1.2344050332327154,2016,-0.8570897,-0.67865896,-1.2619368,-0.7966801,-0.6634919,-0.58529806
Bangladesh,BGD,2016,Strategic developments,0,419,157.97084,2.6523882508949117,0,2016,-0.8570897,-0.67865896,-1.2619368,-0.7966801,-0.6634919,-0.58529806
Bangladesh,BGD,2014,Violence against civilians,144,391,154.520167,2.5304140397414927,0.9319171911068411,2014,-0.88693833,-0.7657504,-0.8955632,-0.93757814,-0.77766526,-0.47392976
Bangladesh,BGD,2014,Battles,120,391,154.520167,2.5304140397414927,0.776597659255701,2014,-0.88693833,-0.7657504,-0.8955632,-0.93757814,-0.77766526,-0.47392976
Bangladesh,BGD,2014,Strategic developments,1,391,154.520167,2.5304140397414927,0.006471647160464175,2014,-0.88693833,-0.7657504,-0.8955632,-0.93757814,-0.77766526,-0.47392976
Bangladesh,BGD,2014,Riots,125,391,154.520167,2.5304140397414927,0.8089558950580219,2014,-0.88693833,-0.7657504,-0.8955632,-0.93757814,-0.77766526,-0.47392976
Bangladesh,BGD,2014,Protests,1,391,154.520167,2.5304140397414927,0.006471647160464175,2014,-0.88693833,-0.7657504,-0.8955632,-0.93757814,-0.77766526,-0.47392976
Bangladesh,BGD,2014,Explosions/Remote violence,0,391,154.520167,2.5304140397414927,0,2014,-0.88693833,-0.7657504,-0.8955632,-0.93757814,-0.77766526,-0.47392976
Sri Lanka,LKA,2012,Protests,1,39,20.425,1.9094247246022031,0.04895960832313341,2012,-0.23678827,-0.20753224,-0.7170792,-0.11247518,-0.12237635,-0.5752793
Sri Lanka,LKA,2012,Explosions/Remote violence,2,39,20.425,1.9094247246022031,0.09791921664626682,2012,-0.23678827,-0.20753224,-0.7170792,-0.11247518,-0.12237635,-0.5752793
Sri Lanka,LKA,2012,Violence against civilians,7,39,20.425,1.9094247246022031,0.3427172582619339,2012,-0.23678827,-0.20753224,-0.7170792,-0.11247518,-0.12237635,-0.5752793
Sri Lanka,LKA,2012,Strategic developments,0,39,20.425,1.9094247246022031,0,2012,-0.23678827,-0.20753224,-0.7170792,-0.11247518,-0.12237635,-0.5752793
Sri Lanka,LKA,2012,Riots,29,39,20.425,1.9094247246022031,1.419828641370869,2012,-0.23678827,-0.20753224,-0.7170792,-0.11247518,-0.12237635,-0.5752793
Nepal,NPL,2010,Riots,3,41,27.013212,1.517775820217159,0.11105676733296285,2010,-0.6924811,-0.87354547,-1.5839711,-0.7441027,-0.9518621,-0.44749263
Nepal,NPL,2010,Violence against civilians,26,41,27.013212,1.517775820217159,0.9624919835523447,2010,-0.6924811,-0.87354547,-1.5839711,-0.7441027,-0.9518621,-0.44749263
Nepal,NPL,2010,Protests,0,41,27.013212,1.517775820217159,0,2010,-0.6924811,-0.87354547,-1.5839711,-0.7441027,-0.9518621,-0.44749263
Nepal,NPL,2010,Strategic developments,0,41,27.013212,1.517775820217159,0,2010,-0.6924811,-0.87354547,-1.5839711,-0.7441027,-0.9518621,-0.44749263
Nepal,NPL,2010,Battles,12,41,27.013212,1.517775820217159,0.4442270693318514,2010,-0.6924811,-0.87354547,-1.5839711,-0.7441027,-0.9518621,-0.44749263
Nepal,NPL,2010,Explosions/Remote violence,0,41,27.013212,1.517775820217159,0,2010,-0.6924811,-0.87354547,-1.5839711,-0.7441027,-0.9518621,-0.44749263
Nepal,NPL,2016,Protests,0,8,27.261131,0.29345811074382794,0,2016,-0.799911,-0.8264515,-0.846812,-0.76453227,-0.79546934,-0.25287133
Nepal,NPL,2016,Riots,4,8,27.261131,0.29345811074382794,0.14672905537191397,2016,-0.799911,-0.8264515,-0.846812,-0.76453227,-0.79546934,-0.25287133
Nepal,NPL,2016,Strategic developments,0,8,27.261131,0.29345811074382794,0,2016,-0.799911,-0.8264515,-0.846812,-0.76453227,-0.79546934,-0.25287133
Nepal,NPL,2016,Violence against civilians,3,8,27.261131,0.29345811074382794,0.11004679152893547,2016,-0.799911,-0.8264515,-0.846812,-0.76453227,-0.79546934,-0.25287133
Nepal,NPL,2016,Battles,1,8,27.261131,0.29345811074382794,0.03668226384297849,2016,-0.799911,-0.8264515,-0.846812,-0.76453227,-0.79546934,-0.25287133
Nepal,NPL,2016,Explosions/Remote violence,0,8,27.261131,0.29345811074382794,0,2016,-0.799911,-0.8264515,-0.846812,-0.76453227,-0.79546934,-0.25287133
Pakistan,PAK,2010,Violence against civilians,570,7539,179.424641,42.017640152335595,3.176821181434048,2010,-1.0873908,-0.7658589,-2.6759331,-0.5967962,-0.7387198,-0.7986631
Pakistan,PAK,2010,Battles,3119,7539,179.424641,42.017640152335595,17.383342569987363,2010,-1.0873908,-0.7658589,-2.6759331,-0.5967962,-0.7387198,-0.7986631
Pakistan,PAK,2010,Riots,41,7539,179.424641,42.017640152335595,0.22850819024350172,2010,-1.0873908,-0.7658589,-2.6759331,-0.5967962,-0.7387198,-0.7986631
Pakistan,PAK,2010,Strategic developments,0,7539,179.424641,42.017640152335595,0,2010,-1.0873908,-0.7658589,-2.6759331,-0.5967962,-0.7387198,-0.7986631
Pakistan,PAK,2010,Protests,12,7539,179.424641,42.017640152335595,0.06688044592492733,2010,-1.0873908,-0.7658589,-2.6759331,-0.5967962,-0.7387198,-0.7986631
Pakistan,PAK,2010,Explosions/Remote violence,3797,7539,179.424641,42.017640152335595,21.162087764745756,2010,-1.0873908,-0.7658589,-2.6759331,-0.5967962,-0.7387198,-0.7986631
Bangladesh,BGD,2017,Explosions/Remote violence,43,249,159.670593,1.5594606077526123,0.26930444230265993,2017,-0.8317309,-0.73345035,-1.2558883,-0.80724657,-0.67121655,-0.61645836
Bangladesh,BGD,2017,Riots,33,249,159.670593,1.5594606077526123,0.20667550223227393,2017,-0.8317309,-0.73345035,-1.2558883,-0.80724657,-0.67121655,-0.61645836
Bangladesh,BGD,2017,Strategic developments,1,249,159.670593,1.5594606077526123,0.006262894007038604,2017,-0.8317309,-0.73345035,-1.2558883,-0.80724657,-0.67121655,-0.61645836
Bangladesh,BGD,2017,Protests,0,249,159.670593,1.5594606077526123,0,2017,-0.8317309,-0.73345035,-1.2558883,-0.80724657,-0.67121655,-0.61645836
Bangladesh,BGD,2017,Violence against civilians,50,249,159.670593,1.5594606077526123,0.3131447003519302,2017,-0.8317309,-0.73345035,-1.2558883,-0.80724657,-0.67121655,-0.61645836
Bangladesh,BGD,2017,Battles,122,249,159.670593,1.5594606077526123,0.7640730688587096,2017,-0.8317309,-0.73345035,-1.2558883,-0.80724657,-0.67121655,-0.61645836
Sri Lanka,LKA,2013,Strategic developments,0,15,20.585,0.7286859363614282,0,2013,-0.21486503,-0.16986392,-0.6128954,-0.15342754,-0.27696243,-0.59417564
Sri Lanka,LKA,2013,Riots,4,15,20.585,0.7286859363614282,0.19431624969638084,2013,-0.21486503,-0.16986392,-0.6128954,-0.15342754,-0.27696243,-0.59417564
Sri Lanka,LKA,2013,Explosions/Remote violence,1,15,20.585,0.7286859363614282,0.04857906242409521,2013,-0.21486503,-0.16986392,-0.6128954,-0.15342754,-0.27696243,-0.59417564
Sri Lanka,LKA,2013,Violence against civilians,9,15,20.585,0.7286859363614282,0.43721156181685694,2013,-0.21486503,-0.16986392,-0.6128954,-0.15342754,-0.27696243,-0.59417564
Sri Lanka,LKA,2013,Protests,0,15,20.585,0.7286859363614282,0,2013,-0.21486503,-0.16986392,-0.6128954,-0.15342754,-0.27696243,-0.59417564
Sri Lanka,LKA,2013,Battles,1,15,20.585,0.7286859363614282,0.04857906242409521,2013,-0.21486503,-0.16986392,-0.6128954,-0.15342754,-0.27696243,-0.59417564
Pakistan,PAK,2015,Explosions/Remote violence,1953,4517,199.426964,22.64989602910467,9.793058876431575,2015,-0.81075585,-0.66751826,-2.482708,-0.627013,-0.76666564,-0.7220663
Pakistan,PAK,2015,Battles,1951,4517,199.426964,22.64989602910467,9.783030142303124,2015,-0.81075585,-0.66751826,-2.482708,-0.627013,-0.76666564,-0.7220663
Pakistan,PAK,2015,Violence against civilians,532,4517,199.426964,22.64989602910467,2.667643278167741,2015,-0.81075585,-0.66751826,-2.482708,-0.627013,-0.76666564,-0.7220663
Pakistan,PAK,2015,Strategic developments,10,4517,199.426964,22.64989602910467,0.05014367064225077,2015,-0.81075585,-0.66751826,-2.482708,-0.627013,-0.76666564,-0.7220663
Pakistan,PAK,2015,Riots,62,4517,199.426964,22.64989602910467,0.31089075798195476,2015,-0.81075585,-0.66751826,-2.482708,-0.627013,-0.76666564,-0.7220663
Pakistan,PAK,2015,Protests,9,4517,199.426964,22.64989602910467,0.045129303578025685,2015,-0.81075585,-0.66751826,-2.482708,-0.627013,-0.76666564,-0.7220663
Pakistan,PAK,2013,Protests,4,4238,191.262919,22.157980345369506,0.02091361995787589,2013,-0.9563623,-0.79180354,-2.603302,-0.70030653,-0.85681576,-0.79948056
Pakistan,PAK,2013,Explosions/Remote violence,2074,4238,191.262919,22.157980345369506,10.84371194815865,2013,-0.9563623,-0.79180354,-2.603302,-0.70030653,-0.85681576,-0.79948056
Pakistan,PAK,2013,Violence against civilians,664,4238,191.262919,22.157980345369506,3.4716609130073977,2013,-0.9563623,-0.79180354,-2.603302,-0.70030653,-0.85681576,-0.79948056
Pakistan,PAK,2013,Strategic developments,0,4238,191.262919,22.157980345369506,0,2013,-0.9563623,-0.79180354,-2.603302,-0.70030653,-0.85681576,-0.79948056
Pakistan,PAK,2013,Battles,1428,4238,191.262919,22.157980345369506,7.466162324961693,2013,-0.9563623,-0.79180354,-2.603302,-0.70030653,-0.85681576,-0.79948056
Pakistan,PAK,2013,Riots,68,4238,191.262919,22.157980345369506,0.35553153928389014,2013,-0.9563623,-0.79180354,-2.603302,-0.70030653,-0.85681576,-0.79948056
India,IND,2017,Strategic developments,2,1444,1338.658835,1.078691569685864,0.0014940326449942715,2017,-0.23980765,0.089892484,-0.7646992,-0.2540298,0.004769078,0.3855384
India,IND,2017,Protests,12,1444,1338.658835,1.078691569685864,0.008964195869965629,2017,-0.23980765,0.089892484,-0.7646992,-0.2540298,0.004769078,0.3855384
India,IND,2017,Riots,205,1444,1338.658835,1.078691569685864,0.15313834611191282,2017,-0.23980765,0.089892484,-0.7646992,-0.2540298,0.004769078,0.3855384
India,IND,2017,Battles,844,1444,1338.658835,1.078691569685864,0.6304817761875826,2017,-0.23980765,0.089892484,-0.7646992,-0.2540298,0.004769078,0.3855384
India,IND,2017,Explosions/Remote violence,64,1444,1338.658835,1.078691569685864,0.04780904463981669,2017,-0.23980765,0.089892484,-0.7646992,-0.2540298,0.004769078,0.3855384
India,IND,2017,Violence against civilians,317,1444,1338.658835,1.078691569685864,0.23680417423159203,2017,-0.23980765,0.089892484,-0.7646992,-0.2540298,0.004769078,0.3855384
Bangladesh,BGD,2015,Explosions/Remote violence,9,503,156.256276,3.219070701518574,0.05759768650828463,2015,-0.8083352,-0.72361887,-1.2120179,-0.8990583,-0.75127995,-0.5120468
Bangladesh,BGD,2015,Strategic developments,0,503,156.256276,3.219070701518574,0,2015,-0.8083352,-0.72361887,-1.2120179,-0.8990583,-0.75127995,-0.5120468
Bangladesh,BGD,2015,Violence against civilians,117,503,156.256276,3.219070701518574,0.7487699246077002,2015,-0.8083352,-0.72361887,-1.2120179,-0.8990583,-0.75127995,-0.5120468
Bangladesh,BGD,2015,Battles,127,503,156.256276,3.219070701518574,0.8127673540613498,2015,-0.8083352,-0.72361887,-1.2120179,-0.8990583,-0.75127995,-0.5120468
Bangladesh,BGD,2015,Riots,249,503,156.256276,3.219070701518574,1.5935359933958748,2015,-0.8083352,-0.72361887,-1.2120179,-0.8990583,-0.75127995,-0.5120468
Bangladesh,BGD,2015,Protests,1,503,156.256276,3.219070701518574,0.006399742945364959,2015,-0.8083352,-0.72361887,-1.2120179,-0.8990583,-0.75127995,-0.5120468
Sri Lanka,LKA,2011,Violence against civilians,7,25,20.39867,1.2255700984426927,0.34315962756395396,2011,-0.3932713,-0.111431934,-0.72477144,-0.11368631,-0.12229754,-0.54505295
Sri Lanka,LKA,2011,Strategic developments,1,25,20.39867,1.2255700984426927,0.04902280393770771,2011,-0.3932713,-0.111431934,-0.72477144,-0.11368631,-0.12229754,-0.54505295
Sri Lanka,LKA,2011,Protests,1,25,20.39867,1.2255700984426927,0.04902280393770771,2011,-0.3932713,-0.111431934,-0.72477144,-0.11368631,-0.12229754,-0.54505295
Sri Lanka,LKA,2011,Explosions/Remote violence,2,25,20.39867,1.2255700984426927,0.09804560787541541,2011,-0.3932713,-0.111431934,-0.72477144,-0.11368631,-0.12229754,-0.54505295
Sri Lanka,LKA,2011,Battles,10,25,20.39867,1.2255700984426927,0.49022803937707704,2011,-0.3932713,-0.111431934,-0.72477144,-0.11368631,-0.12229754,-0.54505295
Sri Lanka,LKA,2011,Riots,4,25,20.39867,1.2255700984426927,0.19609121575083083,2011,-0.3932713,-0.111431934,-0.72477144,-0.11368631,-0.12229754,-0.54505295
Pakistan,PAK,2016,Battles,1175,2205,203.627284,10.828607820551198,5.770346571042022,2016,-0.87546486,-0.6533357,-2.4831731,-0.6395842,-0.80437845,-0.7009914
Pakistan,PAK,2016,Violence against civilians,187,2205,203.627284,10.828607820551198,0.9183445181147729,2016,-0.87546486,-0.6533357,-2.4831731,-0.6395842,-0.80437845,-0.7009914
Pakistan,PAK,2016,Riots,20,2205,203.627284,10.828607820551198,0.09821866503901314,2016,-0.87546486,-0.6533357,-2.4831731,-0.6395842,-0.80437845,-0.7009914
Pakistan,PAK,2016,Explosions/Remote violence,804,2205,203.627284,10.828607820551198,3.9483903345683284,2016,-0.87546486,-0.6533357,-2.4831731,-0.6395842,-0.80437845,-0.7009914
Pakistan,PAK,2016,Strategic developments,5,2205,203.627284,10.828607820551198,0.024554666259753284,2016,-0.87546486,-0.6533357,-2.4831731,-0.6395842,-0.80437845,-0.7009914
Pakistan,PAK,2016,Protests,14,2205,203.627284,10.828607820551198,0.0687530655273092,2016,-0.87546486,-0.6533357,-2.4831731,-0.6395842,-0.80437845,-0.7009914
Pakistan,PAK,2018,Protests,1,1228,212.21503,5.7865835421741805,0.004712201581575065,2018,-0.79073375,-0.6338443,-2.2674348,-0.64444166,-0.67302173,-0.80069333
Pakistan,PAK,2018,Strategic developments,2,1228,212.21503,5.7865835421741805,0.00942440316315013,2018,-0.79073375,-0.6338443,-2.2674348,-0.64444166,-0.67302173,-0.80069333
Pakistan,PAK,2018,Riots,41,1228,212.21503,5.7865835421741805,0.19320026484457767,2018,-0.79073375,-0.6338443,-2.2674348,-0.64444166,-0.67302173,-0.80069333
Pakistan,PAK,2018,Explosions/Remote violence,411,1228,212.21503,5.7865835421741805,1.9367148500273519,2018,-0.79073375,-0.6338443,-2.2674348,-0.64444166,-0.67302173,-0.80069333
Pakistan,PAK,2018,Violence against civilians,294,1228,212.21503,5.7865835421741805,1.3853872649830692,2018,-0.79073375,-0.6338443,-2.2674348,-0.64444166,-0.67302173,-0.80069333
Pakistan,PAK,2018,Battles,479,1228,212.21503,5.7865835421741805,2.257144557574456,2018,-0.79073375,-0.6338443,-2.2674348,-0.64444166,-0.67302173,-0.80069333
Bangladesh,BGD,2018,Battles,70,251,161.356039,1.5555661973085493,0.4338232422772847,2018,-0.90502155,-0.7483993,-1.0324798,-0.8262727,-0.6402364,-0.7284137
Bangladesh,BGD,2018,Riots,62,251,161.356039,1.5555661973085493,0.38424344315988074,2018,-0.90502155,-0.7483993,-1.0324798,-0.8262727,-0.6402364,-0.7284137
Bangladesh,BGD,2018,Violence against civilians,119,251,161.356039,1.5555661973085493,0.737499511871384,2018,-0.90502155,-0.7483993,-1.0324798,-0.8262727,-0.6402364,-0.7284137
Bangladesh,BGD,2018,Protests,0,251,161.356039,1.5555661973085493,0,2018,-0.90502155,-0.7483993,-1.0324798,-0.8262727,-0.6402364,-0.7284137
Bangladesh,BGD,2018,Strategic developments,0,251,161.356039,1.5555661973085493,0,2018,-0.90502155,-0.7483993,-1.0324798,-0.8262727,-0.6402364,-0.7284137
